licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Sterling Pharma Ringaskiddy Limited - P0006,Requests for Approval and Site Reports,Hydraulic testing of the Bunded Sewer Network 2026,https://leap.epa.ie/licence-profile/P0006/compliance/return/2cd54fbe-256e-f111-8ed8-005056be4ac2,2026-08-13T00:00:00+00:00,Closed,2026-06-22T00:00:00,P0006,d772370a-5f19-4eab-b3f1-8355324ed590,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2cd54fbe-256e-f111-8ed8-005056be4ac2
Dairygold Co-operative Society Limited (Castlefarm) - P0404,Site Updates/Notifications,Licensee Public Response - SV35431,https://leap.epa.ie/licence-profile/P0404/compliance/return/987f4f4c-5d80-f111-8ed8-005056be4ac2,2026-08-13T00:00:00+00:00,Closed,2026-07-15T00:00:00,P0404,7559ca15-a380-41a0-9205-247a2e3bae64,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=987f4f4c-5d80-f111-8ed8-005056be4ac2
Hollister ULC - P0918,Site Updates/Notifications,Use of Liquid Nitrogen on site,https://leap.epa.ie/licence-profile/P0918/compliance/return/d2d0dd2c-456e-f111-8ed8-005056be4ac2,2026-08-13T00:00:00+00:00,Closed,2026-06-22T00:00:00,P0918,fa3b3496-a792-431f-91c4-d2a8ff782076,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=d2d0dd2c-456e-f111-8ed8-005056be4ac2
Drehid Waste Management Facility - W0201,Monitoring Returns,Quarter 1 2026 Landfill Gas Monitoring Report,https://leap.epa.ie/licence-profile/W0201/compliance/return/327d4ef1-2649-f111-8ed8-005056be4ac2,2026-08-12T00:00:00+00:00,Closed,2026-05-06T00:00:00,W0201,cc39b8c1-819f-4b39-ad05-22361694bb41,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=327d4ef1-2649-f111-8ed8-005056be4ac2
Padraig Thornton Waste Disposal Ltd - W0206,Monitoring Returns,WMA S18 Notice,https://leap.epa.ie/licence-profile/W0206/compliance/return/393c06dc-fa7e-f111-8ed8-005056be4ac2,2026-08-12T00:00:00+00:00,Closed,2026-07-13T00:00:00,W0206,a3942836-5326-403b-98d0-ef21fd454fc5,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=393c06dc-fa7e-f111-8ed8-005056be4ac2
Padraig Thornton Waste Disposal Limited - P1014,Monitoring Returns,WMA S18 Notice,https://leap.epa.ie/licence-profile/P1014/compliance/return/62bfd7be-fb7e-f111-8ed8-005056be4ac2,2026-08-12T00:00:00+00:00,Closed,2026-07-13T00:00:00,P1014,d0eb7292-66a5-e511-987f-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=62bfd7be-fb7e-f111-8ed8-005056be4ac2
Green Circular Economy Unlimited Company - W0205,Monitoring Returns,WMA S18 Notice,https://leap.epa.ie/licence-profile/W0205/compliance/return/fbc647f5-ad7f-f111-8ed8-005056be4ac2,2026-08-12T00:00:00+00:00,Closed,2026-07-14T00:00:00,W0205,8a1ec208-190d-4b7c-9625-f14a02a7a4a5,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=fbc647f5-ad7f-f111-8ed8-005056be4ac2
Bord Na Móna Recycling Limited - W0229,Site Updates/Notifications,Licensee Public Response - SV34281,https://leap.epa.ie/licence-profile/W0229/compliance/return/151c4791-c448-f111-8ed8-005056be4ac2,2026-08-11T00:00:00+00:00,Closed,2026-05-05T00:00:00,W0229,93e89dfb-c346-49b7-92b2-35865cd7d62d,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=151c4791-c448-f111-8ed8-005056be4ac2
Waddock Composting Facility Designated Activity Company - P1009,Monitoring Returns,Annual Monitoring Return Surface Water,https://leap.epa.ie/licence-profile/P1009/compliance/return/28809e38-5d2c-f111-a37d-0050568a2d1a,2026-08-11T00:00:00+00:00,Closed,2026-03-30T00:00:00,P1009,e0e7e606-67b1-e611-8d41-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=28809e38-5d2c-f111-a37d-0050568a2d1a
Socomore Ireland Limited - P0983,Monitoring Returns,Air Emissions Monitoring Report - Bi-annual 1 2026,https://leap.epa.ie/licence-profile/P0983/compliance/return/2f008fde-dd75-f111-8ed8-005056be4ac2,2026-08-11T00:00:00+00:00,Closed,2026-07-02T00:00:00,P0983,5a524c30-0fa4-e511-987f-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2f008fde-dd75-f111-8ed8-005056be4ac2
Waddock Composting Facility Designated Activity Company - P1009,Monitoring Returns,Annual Monitoring Return Dust,https://leap.epa.ie/licence-profile/P1009/compliance/return/8490c6da-5e2c-f111-a37d-0050568a2d1a,2026-08-11T00:00:00+00:00,Closed,2026-03-30T00:00:00,P1009,e0e7e606-67b1-e611-8d41-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=8490c6da-5e2c-f111-a37d-0050568a2d1a
Info-Lab Limited - P0141,Site Updates/Notifications,Licensee Public Response - SV34248,https://leap.epa.ie/licence-profile/P0141/compliance/return/9fcdc09f-e958-f111-8ed8-005056be4ac2,2026-08-11T00:00:00+00:00,Closed,2026-05-26T00:00:00,P0141,158b2df1-fceb-4ca5-9de8-3f36b9f28bc8,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=9fcdc09f-e958-f111-8ed8-005056be4ac2
Anglo Beef Processors Ireland Unlimited Company t/a ABP Proteins Waterford - P0040,Requests for Approval and Site Reports,Increase daily raw material volumes 2026,https://leap.epa.ie/licence-profile/P0040/compliance/return/ffb82cd6-8cf7-f011-a37b-0050568a2d1a,2026-08-11T00:00:00+00:00,Closed,2026-01-22T00:00:00,P0040,c4a88361-1b4e-4f46-89d9-6655753bb9e6,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=ffb82cd6-8cf7-f011-a37b-0050568a2d1a
